customer_id,customer_name,email,registration_date,customer_type
C00001,Aryan Maharaj,udantdewan@example.net,2023-12-19,REGULAR
C00002,Pahal Balay,chandertejas@example.org,2025-09-05,REGULAR
C00003,Rushil Saini,saumyamall@example.org,2024-03-17,REGULAR
C00004,Harini Mall,tanveernayar@example.org,2023-12-04,REGULAR
C00005,Gunbir Parmer,aishani07@example.net,2024-01-22,REGULAR
C00006,Farhan Memon,rehaan10@example.net,2024-07-01,REGULAR
C00007,Fariq Kaul,raiarunima@example.com,2026-03-26,REGULAR
C00008,Nicholas Prabhakar,shaurya41@example.net,2026-03-25,REGULAR
C00009,Yash Gade,rraghavan@example.net,2025-11-24,REGULAR
C00010,Ekta Bhalla,azadmutti@example.com,2024-08-31,REGULAR
C00011,Siddharth Murty,xalakrandhawa@example.net,2025-06-24,REGULAR
C00012,Alka Dewan,adyasangha@example.net,2025-03-24,REGULAR
C00013,Theodore Devi,wchand@example.org,2023-12-30,REGULAR
C00014,Nathaniel Sami,rajanlakshmi@example.net,2025-07-09,REGULAR
C00015,Advay Contractor,harini14@example.com,2024-03-14,REGULAR
C00016,Aarush Lall,yashicacherian@example.net,2024-10-18,PREMIUM
C00017,Michael Prakash,aadinaik@example.com,2023-08-12,VIP
C00018,Janani Mohanty,dalbirkhosla@example.net,2023-11-12,REGULAR
C00019,Vedika Biswas,kabirsoman@example.net,2024-03-25,REGULAR
C00020,Pallavi Kakar,devikarastogi@example.net,2026-04-17,REGULAR
C00021,Raksha Varughese,pdara@example.org,2023-10-20,REGULAR
C00022,Ansh Karpe,abhimanyubobal@example.net,2026-03-19,REGULAR
C00023,Veer Bir,narayananekavir@example.net,2024-07-16,REGULAR
C00024,Vedika Kala,urvashikibe@example.com,2025-04-05,REGULAR
C00025,Girindra Chatterjee,bpandya@example.com,2025-07-07,REGULAR
C00026,Guneet Bhat,znori@example.org,2024-08-02,REGULAR
C00027,Ranveer Yadav,bdey@example.org,2024-09-17,VIP
C00028,Zaid Borra,dchaudhari@example.net,2025-10-29,REGULAR
C00029,Girik Khalsa,niharikasunder@example.com,2024-06-09,PREMIUM
C00030,Daniel Gala,yagate@example.com,2025-06-18,REGULAR
C00031,Pallavi Sur,ranveerminhas@example.org,2023-10-11,REGULAR
C00032,Dipta Bhandari,soodyadavi@example.net,2024-03-13,REGULAR
C00033,Yashoda Buch,ekapadbir@example.net,2024-07-12,PREMIUM
C00034,Jagdish Koshy,bumboni@example.net,2026-01-04,REGULAR
C00035,Advika Jayaraman,william46@example.org,2026-05-21,REGULAR
C00036,Tanvi Mutti,andratara@example.net,2025-12-03,VIP
C00037,Ethan Yogi,yashawinilanka@example.org,2025-01-05,REGULAR
C00038,Yash Pingle,nakul78@example.net,2024-10-24,REGULAR
C00039,Chandani Chawla,aishanidalia@example.org,2025-11-18,REGULAR
C00040,Anita Manda,hemaljani@example.net,2026-03-24,REGULAR
C00041,Yashasvi Suresh,charan16@example.com,2023-09-19,REGULAR
C00042,Gauri De,neel78@example.net,2025-05-07,PREMIUM
C00043,Isaac Borra,balendrapingle@example.net,2025-11-17,REGULAR
C00044,Qushi Datta,morarjanya@example.org,2025-01-18,REGULAR
C00045,Zaid Chauhan,niharika92@example.org,2024-03-21,REGULAR
C00046,Nitara Bakshi,gaurangisabharwal@example.net,2024-08-01,REGULAR
C00047,Nathaniel Chokshi,ebarad@example.org,2024-05-18,REGULAR
C00048,Inaya Mody,udantbajwa@example.net,2024-05-08,REGULAR
C00049,Falguni Mallick,mallickindali@example.net,2025-09-11,REGULAR
C00050,Garima Bala,lalpranav@example.net,2024-08-28,PREMIUM
C00051,Ikbal Saraf,dipta69@,2024-01-08,REGULAR
C00052,Ranveer Kumar,sarinaarav@example.net,2025-10-26,REGULAR
C00053,Januja Sankar,narayanandipta@example.net,2024-01-22,REGULAR
C00054,Yashica More,znarain@example.net,2024-10-14,REGULAR
C00055,Rehaan Salvi,nghosh@example.net,2024-10-22,PREMIUM
C00056,Aadi Modi,shivansh69@example.net,2026-04-25,REGULAR
C00057,Udyati Sathe,gkala@example.com,2024-04-01,VIP
C00058,Bhanumati Varma,girik34@example.org,2024-05-17,REGULAR
C00059,Aryan Batra,vaishnavibora@example.com,2025-04-16,REGULAR
C00060,Leena Talwar,jkohli@example.net,2023-07-21,PREMIUM
C00061,Pavani Kanda,zarnashetty@example.org,2025-11-24,PREMIUM
C00062,Jairaj Shan,ucchalwali@example.net,2026-01-23,REGULAR
C00063,Saanvi Thaman,ksehgal@example.net,2025-07-19,REGULAR
C00064,Aashi Kota,vedhika34@example.com,2023-11-10,PREMIUM
C00065,Wahab Magar,ekaja81@example.org,2024-03-03,REGULAR
C00066,Leela Dua,devanshsachdeva@example.com,2024-12-08,PREMIUM
C00067,Ojasvi Bhatia,osharamachandran@example.net,2023-08-12,REGULAR
C00068,Vansha Ahuja,chanchal66@example.net,2025-11-07,REGULAR
C00069,Vinaya Kanda,rajata70@example.com,2024-12-16,PREMIUM
C00070,Noah Sibal,aviramesh@example.net,2025-12-05,REGULAR
C00071,Fiyaz Sangha,triyagopal@example.org,2024-08-20,REGULAR
C00072,Falak Kakar,vnarain@example.com,2024-09-17,REGULAR
C00073,Zayyan Bumb,vbahl@example.net,2023-10-01,REGULAR
C00074,Udarsh Biswas,balasubramanianyug@example.org,2023-08-13,REGULAR
C00075,William Date,kcontractor@example.org,2025-07-04,VIP
C00076,Jyoti Ganesh,gadedeepa@example.org,2025-12-27,REGULAR
C00077,Devika Prashad,eissac@example.net,2026-03-13,REGULAR
C00078,Harsh Mitra,barmanidika@example.net,2025-05-08,REGULAR
C00079,Ekapad Toor,advik67@example.org,2025-05-16,REGULAR
C00080,Tripti Dua,ugoda@example.net,2026-04-18,REGULAR
C00081,Veda Shroff,uloyal@example.org,2023-11-24,REGULAR
C00082,Shravya Kohli,vraghavan@example.org,2025-08-18,PREMIUM
C00083,Qabil Sura,ishakuruvilla@example.com,2024-09-19,REGULAR
C00084,Advaith Varughese,frederickkhurana@example.net,2025-04-04,REGULAR
C00085,Wridesh Soni,ysem@example.org,2023-12-04,VIP
C00086,Timothy Ravel,daminipillay@example.com,2025-11-18,REGULAR
C00087,Pavani Narayanan,sudiksha44@example.com,2024-07-05,PREMIUM
C00088,Reyansh Mutti,wasonqasim@example.org,2024-06-13,REGULAR
C00089,Aradhana Vohra,harish34@example.org,2025-01-23,REGULAR
C00090,Chasmum Atwal,anushabath@example.org,2025-11-18,PREMIUM
C00091,Jonathan Swaminathan,arorabhavani@example.com,2025-07-25,VIP
C00092,Harini Gour,krishnanvanya@example.org,2023-10-22,REGULAR
C00093,Vyanjana Borah,doshimanthan@example.net,2024-10-26,PREMIUM
C00094,Yuvraj Dani,xkara@example.net,2025-02-22,REGULAR
C00095,Saanvi Mishra,kmody@example.net,2023-10-14,REGULAR
C00096,Sarthak Kakar,finn23@example.org,2025-11-16,REGULAR
C00097,Naksh Agate,sseshadri@example.net,2025-07-11,REGULAR
C00098,Bachittar Kata,barkha71@example.net,2024-07-09,REGULAR
C00099,Rudra Sandal,karmanthan@example.com,2024-02-18,VIP
C00100,Darpan Gandhi,bhavya71@example.com,2024-10-27,VIP
C00101,Anita Tella,fsarma@example.net,2023-09-12,PREMIUM
C00102,Ekantika Krishna,chandveer@example.net,2025-12-22,REGULAR
C00103,Amruta Baria,upmavenkataraman@example.net,2025-05-29,REGULAR
C00104,Pratyush Sarin,echand@example.com,2025-04-07,REGULAR
C00105,Ekani Cheema,forumsabharwal@example.net,2025-08-20,REGULAR
C00106,Nandini Bansal,uchakrabarti@example.com,2024-11-26,REGULAR
C00107,Netra Varkey,shereodika@example.org,2024-04-29,VIP
C00108,Wishi Sathe,janiamara@example.net,2024-02-01,REGULAR
C00109,Raksha Sundaram,balakrishnanwriddhish@example.net,2024-03-15,REGULAR
C00110,Akshay Reddy,karishaan@example.com,2024-01-11,VIP
C00111,Wishi Manne,ojasvi77@example.org,2025-06-21,REGULAR
C00112,Leela Halder,ekarajmajumdar@example.com,2024-12-21,REGULAR
C00113,Aarnav Mandal,vrishti27@example.net,2025-08-03,REGULAR
C00114,Gaurangi Purohit,mnagy@example.net,2024-07-17,REGULAR
C00115,Vivaan Roy,nadkarniurvashi@example.net,2025-02-24,REGULAR
C00116,Max Tandon,dateyadavi@example.net,2024-12-09,REGULAR
C00117,Ria Chaudhry,uaurora@example.org,2025-04-09,REGULAR
C00118,Falan Singh,hamsini96@example.net,2023-11-14,PREMIUM
C00119,Lajita Nadig,nbanik@example.org,2024-07-11,REGULAR
C00120,Utkarsh Chana,wchaudhari@example.net,2023-12-16,REGULAR
C00121,Ojas Mistry,batraekta@example.org,2024-10-10,REGULAR
C00122,Kavya Sankar,yashwali@example.com,2025-12-08,REGULAR
C00123,Onkar Gill,rajawridesh@example.com,2026-01-03,REGULAR
C00124,Vincent Shenoy,tripti40@example.com,2024-10-01,REGULAR
C00125,Ethan Sathe,chandani64@example.com,2024-10-24,REGULAR
C00126,Leena Subramanian,khalsalakshmi@example.net,2025-01-20,REGULAR
C00127,Chakrika Bains,amaharaj@example.net,2026-06-12,VIP
C00128,Watika Mangat,indirakanda@example.net,2024-05-03,REGULAR
C00129,Laksh Chatterjee,moreridhi@example.org,2025-12-29,REGULAR
C00130,Karan Chana,eta62@example.org,2024-02-03,PREMIUM
C00131,Yachana Mahajan,aarinisubramaniam@example.com,2024-12-20,REGULAR
C00132,Upadhriti Borra,upkaarranganathan@example.net,2025-01-31,PREMIUM
C00133,Megha Atwal,jatin75@example.net,2026-05-22,REGULAR
C00134,Lakshmi Prabhu,kaururishilla@example.org,2026-03-01,REGULAR
C00135,Timothy Bhatnagar,pmittal@,2024-01-10,REGULAR
C00136,Chakradev Barad,waida11@example.org,2025-10-25,VIP
C00137,Lipika Setty,oni92@example.com,2026-04-25,REGULAR
C00138,Vrishti Reddy,bachittar53@example.com,2025-06-02,REGULAR
C00139,Janani Chaudhary,jagrati06@example.com,2024-05-02,REGULAR
C00140,Suhani Chand,anshbedi@example.com,2024-07-25,REGULAR
